Tweet,Sentiment
نحن ما نكتبُ فيه رأيًا ونقطعُ فيهِ عَهدًا  ونبني فيه جسرًا نحوَ تطلعاتِنَا  لنشكّلَ المستقبلَ الذي يُشبهنَا  جَميعًا     🇴🇲 773,neutral
          2,neutral
 طبعا المدن لا تولد فجاة ولا يكتمل نموها في غمضة عين     نموذج جديد لمدن المستقبل في عمان تجري 20 الف منتج سكني تقريبا لا شكل ان تطويرها ستشارك فيه شركات عالمية ومحليه,positive
اعلى قمة حدثت على  خلال عام 2022 السعودي  13950  14900  10141 اما  عام 2005 وصل المؤشر 8570 و  12160 خلال عام 2008      ُمان  829,neutral
 في 2020 تراكم الدين العام بسبب انهيار الاقتصاد العالمي+انخفاض اسعار النفط+ كورونا = تصنيف ائتماني غير مستقر  عمان 2023 مع خطة التوازن المالي تم تغطية جزء كبير من الدين العام+توجيهات ساميه+تنويع الدخل=تصنيف ائتماني إيجابي ونظرة مستقبلة ايجابيه   ,neutral
الإعلان عن  بولاية السيب كأول مدينة ذكية في سلطنة عُمان على مساحة 148 مليون متر مربع تضم المدينة 20 ألف وحدة سكنية، وتستوعب 100 ألف نسمة، وتحتوي على جامع وجامعة ومستشفى مرجعي وحديقة مركزية وبوليفارد ومرافق تجارية ومساجد ومدارس ومكاتب ومدينة رياضية,positive
وأخيراً صرح ومدينة ذكية متكاملة و باسم جلالته في ولاية السيب،تُعنى بالتحول الشامل ومعاصرة ومواكبة التطورات السريعة، فيها كل مقومات الرفاهية وجودة العيّش(سكنية،صحية،زراعية، مستدامة،طاقة متجددة،آليات حفظ المياه) ننتظر البشاير ويارب تشوف معالمها النور قريباً،،،,positive
تتمتع  بشبكة طرق عصرية كما  تحتوي على شبكة داخلیة للتنقل، متنوعة وتستوعب مختلف أنواع أسالیب التنقل، كالمواصلات العامة والخاصة ومسارات خاصة بالمشاة والدراجات، بطریقة مترابطة تصل بجمیع أحیاء المدینة ومركزھا ومرافقھا المختلفة،كما تنتشر فيها المساحات الخضراء,positive
أول مدينة بحلول ذكية حديثة في سلطنة عمان المساحة الإجمالية   ١٥ مليون متر مربع  تستوعب  ٢٣ ألف وحدة سكنية بعد اكتمال مراحلها  ,positive
-تدشين   -انشاء صندوق عمان المستقبل  -تمديد منفعة الأمان الوظيفي لنهاية ديسمبر  -الدعم المباشر لأسعار الوقود بمطار صلالة  حفظ الله  ،،،,neutral
    ,neutral
الآن *نقدم خدمة تنظيف مواسير مياه المطبخ في حالة الانسداد 🔸 بسبب  ▪️تراكم الدهون ▪️ وبقايا الطعام  والاوساخ *عبر تقنية حديثة  📱 للتواصل 92815298 🔹 موقعنا  ولاية بهلاء كما يسعدنا تقديم خدماتنا لجميع ولايات محافظة الداخلية والمحافظات المجاورة   543,neutral
 ,neutral
     92,neutral
الاعلان عن المدرسة القرآنية الوقفية   89,neutral
إعداد معايير ومصفوفة التقييم للمشروعات السياحية     ُمان   373,neutral
تعرف على مدينة  الصناعية  ٠   ُمان 6,neutral
تفضَّل حضرة صاحب الجلالة   - حفظه الله ورعاه- بتدشين   لتكون مدينة المستقبل في العاصمة مسقط، وشعاع الضوء الذي سيُنير ما حوله بطاقة متجددة مُستدامة، ومحور التقاء الثقافات المتنوعة، والنموذج الرئيس لمُدن المستقبل النموذجية🌹 ,positive
"""إننا ننطلق اليوم بإرادة صلبة وعزيمة لا تلين على أعتاب مرحلة مهمة من مراحل التنمية والبناء في عُمان""  حضرة صاحب الجلالة السلطان هيثم بن طارق المعظم -حفظه الله ورعاه-  إقرأ عن  🔻  290   🇴🇲 986",positive
هي  وهدية مستدامة من جلالة السلطان المعظم _حفظه الله ورعاه_للشباب 🇴🇲   2,positive
من قصتها وحتى قيم وركائز هويتها تعكسُ إرثًا عريقًا يزدانُ تألقًا مع مرور الزمن 🇴🇲     ,neutral
تقدم نموذج جديد لبناء مدن مستدامة تحاكي الحياة العصرية في سلطنة عُمان 🇴🇲     7389,positive
يقدم مخططها الرئيسي في ولاية السيب فرصة استثنائية لتطوير نموذج فريد يرسي معايير جديدة في بناء المدن المستدامة، مع مواكبة متطلبات وتطلعات الحياة العصرية للشباب     ,positive
ترتكز المدينة على 12 معياراً عالميًا من معايير جودة الحياة ورفاهية العيش، وذلك بدءاً من التكلفة المناسبة والمرافق المتكاملة، وصولاً إلى أسلوب الحياة الحديث والأنظمة المستدامة     2,positive
"""نتطلع بخطواتنا المتقدمة إلى تحقيق أعلى مستويات كفاءة الخدمة بما يتناسب مع مستوى طموحات رؤية عمان 2040 لتحقيق تطلعات أبناء سلطنة عُمان""🇴🇲  إقرأ عن  🔻  065     019",positive
 6,neutral
هل بتستفيد إذا كانت منظومة الطاقة الشمسية 50% لديك من مجموع الأحمال المرتبطة بالمبنى؟   خلنا نشوف    مع م سمية الرواحية ⚡️😎🔋  وإذا عندكم أي سؤال ل م سمية،  تفضلوا في التعليقات ☀️        0,neutral
لا شك بأنّ الرأي العام يلعب دور في توجيه البوصلة  ولكن قرائته يحتاج الى دقة متناهية وتحليل عميق من اتجاهات مختلفه ومنها الاتجاه العاطفي      ,neutral
مدينة السلطان هيثم مواكبة لضرورة ما تقتضيه حاجة ومتطلبات الإنسان العماني        ُمان 1,positive
مدينة السلطان هيثم أحد أضخم المشاريع في النهضة المتجددة         ُمان 3,positive
ونتطلع بخطواتنا المتقدمة إلى تحقيق تطلعات أبناء سلطنة عُمان في  🇴🇲     703,positive
وكونها مدينة للجميع فهي تعكسُ إرثًا عريقًا يزدانُ تألقًا مع مرور الزمن، ويعملُ على تشكيل قاعدة راسخة ورصينة لمجتمع مستقبلي مبتكر وشمولي، يجمعُ بتناغم بين كافة الأجيال وأنماط الحياة ويتخطّى حواجز الثقافات      9,positive
أكثر من 10 أنواع من الأغنام تيوس وخرفان وكذلك العجال والأبقار والجمال اليمنية والمحلية بأنوعها في (شركة المقام العالي) بمسلخ بلدية نزوى                                                       للاستفسار وطلب اللوكيشن 96269161 99270407   7,neutral
" وانا اقرا المكتوب اعتقد ""والله اعلم"" هناك مباني ومنازل قائمة حاليا تدخل ضمن حدود المدينة الجديدة ",neutral
 احد اضخم مشاريع النهضة المتجددة في  59,positive
 احد اضخم مشاريع النهضة المتجددة في  وانطلاقة نحو المستقبل 🇴🇲 0,positive
   نموذج تنموي جديد 4,neutral
جعل المستقبل إرثٍ قبلَ الذهاب إليه، واستشرافُ ديمومَته، وربطه بالقيمِ وسماتِ التحضر، يعكسُ رؤية مُتبصرة في مدينةٍ حالمة بواقعٍ مُتحقق بإذن الله هنا عُمان  هنا مدينة السلطان هيثم  نهضة متجددة ومستقبل طموح 🇴🇲    ,positive
تُحقق ، بتخطيطها المصمم على أيدي الخبراء والكوادر الوطنية الشابة، بأعلى معايير الجودة والإتقان، محاور  وأهدافها ✨   75,positive
د جان جبور ممثل منظمة الصحة العالمية ُمان تشهد اهتماما غيرِ مسبوقٍ، بإنشاء وتخطيط مدن مستقبلية نموذجية تركز على معايير عالمية لجودة الحياة ورفاهية العيش، مثل  التي تم الإعلان عنها في الأسبوع المنصرم، والتي تتسق مع استراتيجياتِ وخططِ منظمة الصحة العالمية 8,positive
ثلاثية القوة فـي مضامين عاطر الحديث الشفهي السامي لجلالة السلطان  ما هي؟ وما مدلولاتها فـي عمل ؟   459          8543,neutral
    ثلاثية القوة فـي مضامين عاطر الحديث الشفهي السامي لجلالة السلطان  ما هي؟ وما مدلولاتها فـي عمل الجهاز الإداري للدولة؟  6,neutral
مدير مشروعك وحقق نتيجة   في إختبارات معهد إدارة المشاريع  الآن 🎓    الدفع بعد الانجاز🌟🖨 للتواصل عبر الخاص📨     ,neutral
تُحقق ، بتخطيطها المصمم على أيدي الخبراء والكوادر الوطنية الشابة، بأعلى معايير الجودة والإتقان، محاور  وأهدافها ✨ 395,positive
"""نعمل في هذا البلد كفريق""   والإنسان قادر على التغلب على كل التحديات وهذه البداية  اللهم أعزنا به وأعزه بنا ووفقه لما فيه خير وصلاح شعبه وأمته     862",positive
هنا    نهضة متجددة ومستقبل طموح 52,positive
عندما نتحدث عن الإبداع والتطوير والتنمية المستدامة نرى ذلك في  6,neutral
د جان جبور ممثل منظمة الصحة العالمية ُمان تشهد اهتماما غيرِ مسبوقٍ، بإنشاء وتخطيط مدن مستقبلية نموذجية تركز على معايير عالمية لجودة الحياة ورفاهية العيش، مثل  التي تم الإعلان عنها في الأسبوع المنصرم، والتي تتسق مع استراتيجياتِ وخططِ منظمة الصحة العالمية 94,positive
 نموذج يُرسِي معايير جديدة في بناء المدن المستدامة القائمة على تبنّي مفهوم مبتكر، واستشراف الأساليب المستقبلية، بما يتواءم مع رؤية ُمان_2040 ويساهم في تحقيق أهداف أولوية تنمية المحافظات والمدن المستدامة,positive
دشّن جلالة السلطان المعظم أيده الله مشروع  أحد أضخم  المشاريع في النهضة المتجددة  بدأت قصة هذا المشروع باللفتة السامية بتخصيص الأرض المقابلة لقصر البركة العامر أرضا للمشروع بمساحة 148 مليون متر مربع,positive
 في 2020 تراكم الدين العام بسبب انهيار الاقتصاد العالمي+انخفاض اسعار النفط+ كورونا = تصنيف ائتماني غير مستقر  عمان 2023 مع خطة التوازن المالي تم تغطية جزء كبير من الدين العام+توجيهات ساميه+تنويع الدخل=تصنيف ائتماني إيجابي ونظرة مستقبلة ايجابيه ,neutral
"• تستوعب المدينة 100 ألف نسمة • تركز المدينة على المسطحات الخضرا حيث تبلغ مساحاتها 2,9 مليون متر مربع • عدد الوحدات السكنية 20 ألف وحدة سكنية موزعة على عدة خيارات   فلل منفصلة  فلل شبه متصلة  شقق  حديقة مركزية 164 مليون متر مربع",neutral
"""نعمل في هذا البلد كفريق""  والإنسان قادر على التغلب على كل التحديات وهذه البداية  ",positive
الإعلان عن  بولاية السيب كأول مدينة ذكية في سلطنة عُمان على مساحة 148 مليون متر مربع   تضم المدينة 20 ألف وحدة سكنية، وتستوعب 100 ألف نسمة، وتحتوي على جامع وجامعة ومستشفى مرجعي وحديقة مركزية وبوليفارد ومرافق تجارية ومساجد ومدارس ومكاتب ومدينة رياضية,positive
"    المساحة الإجمالية للأرض 14,800,000  متر مربع  إجمالي المساحات الخضراء  2,900,000 متر مربع  الحديقة المركزية والوادي 1,640,000 متر مربع  العدد الإجمالي للسكان 100,000 نسمة",neutral
أعبر عن إعجابي الشديد بالرؤية والتخطيط الذي تظهره سلطنة عمان الشقيقة في تنفيذ مشروعها الضخم، هذا المشروع يعكس التزامها بالتنمية المستدامة والذكية، وأتطلع بحماس لرؤية الإنجازات التي ستحققها في المستقبل ,positive
متفائل بوجود  أنها ستكون أول موقع في عمان يمكن أن يطلق على أحد أجزاءه (وسط المدينة) وتوفير خيارات متنوعة للسكان وللزوار في ممر المحلات والمطاعم بطريقة راقية لكل شرائح المجتمع ومستوياتهم والحديقة التي أساسها الوادي ستكون تجربة مكبرة لمنتزه وادي العذيبة 👌😌🙏🏼 143,positive
تثمن الجمعية وجميع عضواتها اللفتة الكريمة من جلالة السلطان  بإنشاء مركز وطني لصحة  والطفل ضمن مرافق  وهذا يدل على حرص جلالته الكريم بكافة شرائح المجتمع  47,positive
 هي مدينة المستقبل التي ينتظرها الجميع وبما تحتويه من مرافق وعناصر جذب عديدة,positive
 نموذج يُرسِي معايير جديدة في بناء المدن المستدامة القائمة على تبنّي مفهوم مبتكر، واستشراف الأساليب المستقبلية، بما يتواءم مع رؤية ُمان_2040 ويساهم في تحقيق أهداف أولوية تنمية المحافظات والمدن المستدامة    ,positive
أزمة ثقة  1️⃣وأخيرا سيتحقق حلم المدينة المتكاملة لدينا وتحديدا في  للخلاص من المدن التي عانت من العشوائية لأسباب كثيرة لست هنا بصدد ذكرها فالأغلب يعلمها  هنا أحدثكم عن   التي سيتم إنشاؤها في العاصمة مسقط وتحديدا في ولاية  العريقة مقابل قصر بيت البركة على مساحة تقارب الـ 15 مليون متر مكعب، هذه المدينة التي تحترم الإنسان ستحمل في تفاصيل عمرانها المتكامل النموذج الأجمل للأحياء السكنية المستقبلية كمدينة ذكية ومستدامة وصحية وبها جميع المرافق التي يحتاجها الإنسان تحت شعار مدينة للجميع أي لجميع الجنسيات التي تعيش في ُمان وليست حكرا للمواطن العماني، وهو بطبيعة الحال ما يعكس حال المجتمع العماني المسالم والمرحب بالجميع،,positive
4️⃣والأهم من هذا كله أن تستطيع الحكومة من تغير الصور الذهنية اتجاه مشاريعها على أرض الواقع لتصبح خير شاهد على بناء الثقة بينها وبين كل مواطن كمشروع مطارنا الوطني الذي أصبح مثالا رائعا للإرادة والتنفيذ رغم كل الصعوبات  وبالنسبة لمشروع  والذي أراه مستوحى تاريخيا من مكونات وعناصر الحارة العمانية القديمة، فتنفيذه مثلما شاهدنا في التصور والأهداف أمرا ضروريا لترسيخ مبدأ المساواة في الاستحقاق وتطبيق شعار (المدينة للجميع) أي يستطيع الجميع أن يحظى بفرص السكن فيها بمعايير واضحة ومفهومة ولا تقبل التلاعب أو المحسوبية!  معايير ذات مصداقية وقوانين تحميها من أجل أن يصبح هذا النموذج من المدن هو أساس المدن المستقبلية لعمان، ولا مجال للتراجع نحو العشوائيات الإسمنتية التي أتعبت عقولنا وأذهاننا وبالتالي صحتنا أكثر من كل شيء!,positive
 مقبلة على تنظيمٍ أفضل  إذ ليس التحسن مقتصراً على المؤشرات المالية، وإنما التنظيم يجب أن يشمل كل الجوانب بما في ذلك     مدينة عصرية وعوائدها الاقتصادية كثيرة ومتعددة، ونود أن نرى تنفيذها قريبا، فهي نموذجاً لمشاريع إنعاش الاقتصاد 33,positive
"4محتاجين نتخلى عن فكرة "" ""  التي يحلم بها الإنسان دائما ويزعم أنها لن تكون كذلك إلا إذا اجتمعت جميع العناصر في تلك البقعة المحددة، ونكون واقعيين و نوفر من العناصر الإيجابية ما استطعنا في كل مدينة من مدننا، سواء بالإضافة أو التعديل  ",positive
نفحات الحج للشيخ سالم النعماني بجامع السوادي الساحل اليوم الإثنين بعد صلاة المغرب مباشرة يوجد مكان خاص للنساء      57755,neutral
 من منظور    ⁦⁩  ⁦⁩  ⁦⁩  63,neutral
هدية من السلطانعُمان تُعلن عن تدشين    - 20 الف وحدة سكنية - مدينة ذكية ومتطورة بالكامل - تضم 39 مدرسة و 25 مسجد و 11 مرفق صحي ومجمعات رياضية ومرافق تجارية وترفيهية وجامعة وبوليفارد وحدائق وغيرها - تستوعب 100 الف نسمة - المدينة هدية من السلطان هيثم للشباب ,positive
نقليات المالكي للحج والعمرة ورحلاتهم مستمرة للديار المقدسة لأداء مناسك العمرة       9,neutral
تُحقق ، بتخطيطها المصمم على أيدي الخبراء والكوادر الوطنية الشابة، بأعلى معايير الجودة والإتقان، محاور  وأهدافها ✨ 77,positive
تفضَّل حضرة صاحب الجلالة   - حفظه الله ورعاه- بتدشين   لتكون مدينة المستقبل في العاصمة مسقط، وشعاع الضوء الذي سيُنير ما حوله بطاقة متجددة مُستدامة، ومحور التقاء الثقافات المتنوعة، والنموذج الرئيس لمُدن المستقبل النموذجية،،،  ,positive
" نعم كلنا  ""فريق واحد""      ",positive
تقوم  لمحافظة مسقط على الحداثة المُتناغمة مع أصالةِ الماضي وعراقته، وهو ما يتجسّد في  🌆   ,positive
 | ✍️ حمود بن سالم السيابي يكتب  في  أحتسي فنجاني الافتراضي لأسابق الحلم  66 ,neutral
إيجاد نموذج سياحي يسمح للمجتمعات بالازدهار ويسهم في تطور الاقتصاد ونموه مطلب ضروري 💕  ُمان  75,positive
اللهم بارك في كل خطواته وحقق له كل مبتغاه        2,positive
عمان نهضة متجددة ومستقبل واعد      47,positive
🌟 | هي رحلة لمستقبلٍ مُبهر نحو غدٍ مليء بالسعادة والرخاء ليرسم  ✨   ♥️ | بكل فخر  يزدان إعلان  تألقاً على حافلات  🚍 281,positive
على غرار الاعلان عن إنشاء   أرى انه من الافضل البدء في التفكير بإقامه مدن مماثله في كل محافظه يكون عدد سكانها مليون نسمه لكل مدينه يتوفر بها جميع مرافق المدن الذكيه و يكون نظامها إستثماري بحت,positive
تقوم  لمحافظة مسقط على الحداثة المُتناغمة مع أصالةِ الماضي وعراقته، وهو ما يتجسّد في  🌆 8,positive
هكذا يبدو تأثير الأشجار والمساحات الخضراء على درجات الحرارة…  في الصورة السفلى نجد أن الاهتمام بتصميم الحي بشكل يعزز المساحات الخضراء جعل درجات الحرارة تنخفض بشكل كبير بعكس الحي في الصورة الأولى التي لا يوجد بها أشجار تقريباً  نريدها أنموذجا ! 4,neutral
مدينة مستدامة في متناول الجميع، عبر التوظيف الأمثل لمساحات الأراضي والوحدات السكنية واتباع أساليب البناء العصرية لتتماشى مع كافة مستويات الدخل  من سمات    🇴🇲 288,positive
مدينة مستدامة في متناول الجميع، عبر التوظيف الأمثل لمساحات الأراضي والوحدات السكنية واتباع أساليب البناء العصرية لتتماشى مع كافة مستويات الدخل     346,positive
تجمع بين الطراز العالمي المبتكر والاستدامة  “وجه” عُمان الجديد  🇴🇲 1178    ,positive
*إدارة المشاريع الاحترافية * ▪️مع المدرب ليث الحارثي ▪️فندق انترسيتي - مسقط ▪️5 ايام ▪️9 صباحاً - 4 عصراً ▪️11- 15  يونيو 2023 💵400 ريال 📱للحجز والاستفسار 79989474 🔸حسابنا في الانستجرام 2694     4,neutral
مدينة تحتضن كافة أفراد المجتمع بتنوع فئاتهم الاجتماعية والثقافية، وتتيح لهم الوصول إلى جميع مرافقها الاجتماعية والترفيهية بسهولة تامة  من سمات    🇴🇲 40,positive
 تحتضن الجميع ُمان 9999,positive
مدينة تحتضن كافة أفراد المجتمع بتنوع فئاتهم الاجتماعية والثقافية، وتتيح لهم الوصول إلى جميع مرافقها الاجتماعية والترفيهية بسهولة تامة من سمات    ُمان 8,positive
🎥 | أول مدينة ذكية في ُمان 🇴🇲  تشهد ُمان نهضة عمرانية منذ تولي  للحكم  --- | شاهدوا وشاركونا هل تنجح  بجذب  المحلية والخارجية؟    |    |   93,positive
3 ماذا تعرف عن  أول مدينة ذكية في ُمان  حول الخبر المشروع الذي دشّنه مؤخرًا السلطان عُمان هيثم بن طارق، يعد نموذجًا للمدن المستقبلية في سلطنة عمان    8,positive
بعد الإعلان عن ،   في محافظة مسقط، تم اعداد ورشة لمدينة ذكية في ولاية  ، فما هو الفرق او الربط بين المشروعين ،خصوصا تزامنهما في وقت واحد؟ كذلك علاقة المشروعين بالرؤية المستقبلية 2040؟ قبل نبدأ يجب التركيز ،على المسميات ،فمدينة السلطان هيثم اطلق عليها مدينه مستدامة ،بينما صلالة مدينه ذكية؟! ان المدن المستقبلية ،سوف تكون بهذا المستوى ،والذي يركز على تلبية الابعاد الاقتصادية والاجتماعية وتحسين الحياه في البيئة الحضرية ،فالمدن الذكية مرتبطة باستخدام التقنيات الحديثة،في البنية التحتية للمدينة ،بينما المدن المستدامة تعتمد في كثير من جوانب التخطيط على التكنولوجيا ،وسبل الطاقة المتجددة ، واستدامة الحياة التى تراعي كافه الجوانب العصرية في مثل هذه المدن فيمكن القول ،أن نبدأ بالمدن المستدامة ،والتى توظف التكنولوجيا ،مثل ماتم اعلانه حول مدينة السلطان هيثم،والعكس صحيح في مدينه صلالة الذكية ،كيف نخطط لمدينه ذكية ،دون التخطيط لنقطة الانطلاق نحو المدن الذكية كهدف تحول نحو المستقبل الذي يبدا بالتدرج ؟ ولعل هذا الامر مبالغ فيه، خصوصا وان التخطيط العمراني يراعي كافة البيئات المختلفة في البلد، كالبيئة الريفية ! ان التحول في التخطيط العمراني ،لابد ان تكون نماذج التحول ناجحة ،لخلق تجارب مدن مستدامة في كافه المحافظة ،لأجل تحقيق المستهدفات المستقبلية ،والذي سوف نتحدث عن واجابه للسؤال السابق حول العلاقة بين هذا التوجه ورؤية   🔸علاقة هذه المدن برؤية عمان المستقبلية تندرج ضمن الأولوية الوطنية _تنمية المحافظات والمدن المستدامة ، وهذه الاولوية ،توجهها الاستراتيجيايجاد مدن مستدامة وتنافسية على كافة المستويات ولعل مؤشر تحقيق هذا الهدف هو مؤشر (وطني)يعتمد على التفعيل التسلسل الهرمي للتجمعات السكانية في المحافظات والذي تم اعتماده من مجلس الوزراء ،الإستراتيجية العمرانية وربما يتبادر الى الذهن استفهام ،حول ترابط اولوية المدن المستدامه مع اولوية المواطنة والهوية والتراث والثقافة الوطنية ؟!,neutral
هل ستقدم الاستراتيجية العمرانية نموذجا للترفيه المستدام؟  2               60,neutral
وزارة الحج يجب تجنب التعلق بكسوة الكعبة المشرفة، وعدم سحبها أو جرها        57,neutral
مدينة آمنة بتصميم الأماكن العامة بطريقة تُمكّن جميع السكان من الاستخدام الآمن للمرافق وبما يُراعي المعايير والعادات الاجتماعية والثقافية لكافة فئات المجتمع  من سمات    🇴🇲 99,positive
مدينة آمنة بتصميم الأماكن العامة بطريقة تُمكّن جميع السكان من الاستخدام الآمن للمرافق وبما يُراعي المعايير والعادات الاجتماعية والثقافية لكافة فئات المجتمع من سمات    ,positive
توجيه وكلمة سماحة الشيخ أحمد بن حمد الخليلي لمريدي الحج في هذا الموسم 1444هوفقهم الله وسدد خطاهم وتقبل الله منا ومنهم صالح الأعمال 🌹        3,positive
رحلة خاصة للوافدين العرب للعمرة مؤسسة الرحاب الطاهرة الرحلة تنطلق من سلطنة عمان  رحلاتهم متواصلة للديار المقدسة لأداء مناسك العمرة         ,neutral
   معالي الدكتور خلفان الشعيلي وزير الإسكان والتخطيط العمراني يستعرض مشروع  لأصحاب المعالي والسعادة المحافظين و رؤساء البلديات                  تغطية  ,neutral
🔴 أبرز تصريحات معالي وزير الإسكان والتخطيط العمراني حول  👇 3,neutral
🔴 أبرز تصريحات معالي وزير الإسكان والتخطيط العمراني حول    69,neutral
معالي الدكتور وزير الاسكان يعطي لمحة سريعة حول المستحقين للتملك في ,neutral
   معالي السيد إبراهيم بن سعيد البوسعيدي  محافظ    🔸مشروع  سيعطي معيار مهم جدًا للمدن المستدامة والتي ترفع من سقف طموح جميع المحافظات   🔸موقع  مميز جدًا وستوفر فرص عمل كبيرة جدًا     33,positive
صحيفة الشبيبة معالي الدكتور خلفان الشعيلي وزير الإسكان والتخطيط العمراني يستعرض مشروع  لأصحاب المعالي والسعادة المحافظين و رؤساء البلديات تغطية - عبر تطبيق نبض   51,neutral
بعد تدشين  نرى اليوم المشاريع الإنمائية بالمحافظات والتي يتوقَع منها الإضافة الاقتصادية لقطاع السياحة الداخلية وخلق الوظائف مشاريع من شأنها أن تفتح مجالات واسعة للابتكار أمام  لتطوير الخدمات والمنتجات للزوار و السواح وتنويع الفعاليات الترفيهية 3621,positive
منذ أيام دشنت   الخطوة الأساس لإنشاء  لتكون إرثا ونموذجا لإنشاء مدن أخرى  في المقطع المرفق شرح من قبل معالي الدكتور وزير الإسكان والتخطيط العمراني لجانب واحد مما ستوفره تلك المدينة   واليوم تم الإعلان عن المشاريع الإنمائية النوعية الثلاثة التي سيحظى تنفيذها بدعم من قبل الحكومة والقطاع الخاص  ولتكون أساسا لمشاريع أخرى إستثنائية تقدمها المحافظات في سبيل التنافس المحمود  بمحافظة ظفار  بمحافظة مسندم  بمحافظة جنوب الباطنة  هي المشاريع الفائزة التي تستحق الإشادة والدعم، وأن تكون هي حديث الساعة دعما لمن فاز وتحفيزا للقادم  فألف مبارك لهم    وأن لا يطغى خبر من تقدم على الحصول بطلب مساعدة سكنية رغم أملاكه على جميع هذه الإنجازات 😃,positive
في رأيكم هل سيكون لعامة الناس من الطبقة المتوسطة نصيب التملك في  الجديدة ام سيكون حالها حال الموج؟   1,neutral
تأتِ  ضمن مخطط مسقط الكبرى، الذي يقوم على تنمية وتطوير المحافظة في مختلف القطاعات    ,positive
مدينة بمخططات عملية عبر تحديد مقاييس شبكة الطرق و توزيعها بطريقة عملية تمكن تشغيل المرافق بفعالية تامة  من سمات    🇴🇲 0,positive
وأمنيتي الأخيرة أتمنى حقا أن أشاهد بناء مسرحا وطنيا بامتياز في   يحتضن إبداعات شبابنا في مجال المسرح بإذن الله,positive
مدينة بمخططات عملية عبر تحديد مقاييس شبكة الطرق و توزيعها بطريقة عملية تمكن تشغيل المرافق بفعالية تامة من سمات    🇴🇲 13496,neutral
مخطط  الذي يضم   ضمن  في ُمان    ,neutral
من لقاء المهندس فؤاد الكندي  رئيس مجلس إدارة جمعية المهندسين مع إذاعة الشبيبة عن       9 ,neutral
 مخطط ابداعي ،، نتمنى ان يكون التصميم على أيدي خبراء وبأعلى معايير الجودة والإتقان اذا ما اردنا لها النجاح  81,positive
"""نعمل في هذا البلد كفريق""   والإنسان قادر على التغلب على كل التحديات وهذه البداية  اللهم أعزنا به وأعزه بنا ووفقه لما فيه خير وصلاح شعبه وأمته     70",positive
 مدينة بمخططات عملية عبر تحديد مقاييس شبكة الطرق و توزيعها بطريقة عملية تمكن تشغيل المرافق بفعالية تامة 4961,neutral
مدينة بتصاميم ذكية ومتكاملة توفر مستويات غير مسبوقة من الخصوصية في الوحدات السكنية، إلى جانب توزيع المساحات والمسطحات الخضراء  من سمات    🇴🇲 1,positive
، أيقونة عصرية متفرّدة، تواكب طموحات الإنسان واحتياجاته 🌆     889,positive
ترتكز  على 12 معيارًا عالميا من معايير جودة الحياة ورفاهية العيش؛ لضمان حياة عصرية حديثة ترقى بتطلّعات الأجيال 🌆     ,positive
مدينة سهلة التنقل بتوزيع شبكة الطرق والمرافق المجتمعية والخدمات ضمن مسافات متقاربة تراعي إمكانية الوصول إلى أكبر عدد ممكن من المرافق من سمات    ُمان 4,positive
"نرسم ملامح الصورة الذهنية لـ  في الحوار الإعلامي ""مدينة للجميع"" 🇴🇲   5",positive
لأنها مدينة للجميع 🇴🇲،،  شاركنا ماذا تريد أن تعرف عن  ؟  ,positive
